Subjects,Var2_ 1,Var2_ 2,Var2_ 3,Var2_ 4,Var2_ 5,Var2_ 6,Var2_ 7,Var2_ 8,Var2_ 9,Var2_10,Var2_11,Var2_12,Var2_13,Var2_14,Var2_15,Var2_16,Var2_17,Var2_18,Var2_19,Var2_20,Var2_21,Var2_22,Var2_23,Var2_24,Var2_25,Var2_26,Var2_27,Var2_28,Var2_29,Var2_30,Var2_31,Var2_32,Var2_33,Var2_34,Var2_35,Var2_36,Var2_37,Var2_38,Var2_39,Var2_40,Var2_41,Var2_42,Var2_43,Var2_44,Var2_45,Var2_46,Var2_47,Var2_48,Var2_49,Var2_50,Var2_51,Var2_52,Var2_53,Var2_54,Var2_55,Var2_56,Var2_57,Var2_58,Var2_59,Var2_60,Var2_61,Var2_62,Var2_63,Var2_64,Var2_65,Var2_66,Var2_67,Var2_68,Var2_69,Var2_70,Var2_71,Var2_72,Var2_73,Var2_74,Var2_75,Var2_76,Var2_77,Var2_78,Var2_79,Var2_80,Var2_81,Var2_82,Var2_83,Var2_84,Var2_85,Var2_86,Var2_87,Var2_88,Var2_89,Var2_90,Var2_91,Var2_92,Var2_93,Var2_94,Var2_95,Var2_96
11,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
12,2,1,2,1,2,NaN,1,1,2,1,2,1,2,1,1,2,2,1,2,1,1,1,2,1,1,2,2,2,1,2,2,NaN,1,2,2,1,2,1,NaN,1,NaN,1,NaN,1,2,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,NaN,1,1,NaN,1,1,1,NaN,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,1,2,1
13,2,1,NaN,NaN,2,2,1,1,2,1,NaN,1,2,1,1,1,1,NaN,2,1,2,1,2,1,NaN,1,1,1,1,1,2,1,NaN,1,1,1,1,1,1,1,1,1,2,1,2,2,1,NaN,1,1,1,1,2,1,NaN,1,2,1,1,1,2,1,1,2,1,1,2,1,1,1,NaN,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1
14,2,2,2,1,2,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,2,1,1,2,2,1,1,1,1,2,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
15,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
16,2,2,2,2,2,2,2,1,2,1,1,2,1,1,1,1,1,2,1,1,2,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
17,1,2,2,1,1,2,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
18,2,2,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,2,1,1,1,2,2,2,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
19,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,2,1,2,2,1,2,1,1,1,2,1,2,1,2,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1
20,2,1,2,2,2,2,1,2,1,1,1,1,1,2,1,NaN,2,1,2,1,1,2,2,1,2,1,2,2,2,1,2,1,2,1,2,2,2,1,2,1,2,1,2,2,2,NaN,1,2,2,2,1,2,1,1,1,1,1,1,2,1,1,1,1,2,NaN,1,1,2,2,1,2,2,2,1,2,1,2,1,2,1,1,2,2,2,2,1,2,1,1,2,1,1,1,1,1,2
